ID,WorkType,Type,Filepath,location
40047,Reconstruction of Upper Swat Canal System,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/rescure-1122-lower-kohistan-840x546-840x620.jpg,Khyber Pakhtunkhwa,
40048,The Monitoring Team of P&D Department Visited the Rescue 1122 Station of Lower Kohistan District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-roads-imporvements-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40049,Roads Improvements in the Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-wheatwarehouse-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40050,P&D Review & Monitoring Team Visited Wheat Warehouses in District Tank,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-kfw-840x536-840x620.png,Khyber Pakhtunkhwa,
40051,Country Director KFW Pakistan called on Shah Mahmood Secretary P&D KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-15th-pdwp-840x572-840x620.jpg,Khyber Pakhtunkhwa,
40052,15th PDWP Held on 16 February 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-dubaiexp-840x558-840x620.jpg,Khyber Pakhtunkhwa,
40053,Representatives of Infraco Asia and ENRTECH Visited the P&D Department of Khyber Pakhtunkhwa,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40054,Directorate of M&E Along With PHE Visited The Areas of AIP-Schemes For Merged Districts,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-south-waziristan-840x534-840x620.jpg,Khyber Pakhtunkhwa,
40055,KP Government Development Program in South Waziristan District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-sngp-840x491-840x620.png,Khyber Pakhtunkhwa,
40056,8th PSC Meeting on Sub-National Governance-II Program,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-kddp-840x496-840x620.png,Khyber Pakhtunkhwa,
40057,2nd PSC Meeting on Kohat Division Development Program (KDDP),Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-un-840x540-840x620.jpg,Khyber Pakhtunkhwa,
40058,A Delegation Comprising of UN UNDP and EU Representatives Visited P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/02/banner-urban-center-840x486-840x620.jpg,Khyber Pakhtunkhwa,
40059,Meeting on Uplift and Beautification of Urban Centers in Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-840x375-840x620.jpg,Khyber Pakhtunkhwa,
40060,Meeting on E-Tendering,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-14pdwp-840x321-840x620.png,Khyber Pakhtunkhwa,
40061,14th PDWP Held on 27th January 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/fwrdp-banne-840x605-840x620.png,Khyber Pakhtunkhwa,
40062,The 6th Meeting of Project Steering Committee of FATA Water Resources Development Project (FWRDP),Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-swiss-840x562-840x620.jpg,Khyber Pakhtunkhwa,
40063,Switzerland Ambassador Mr. Bénédict de Cerjat and Ms. Arjumand Nizami Country Director HELVETAS Visited P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-irm-840x554-840x620.jpg,Khyber Pakhtunkhwa,
40064,Weekly Internal Review Meeting,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-pdwp-840x407-840x620.jpg,Khyber Pakhtunkhwa,
40065,13th PDWP Held on 13th January 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/solar_banner-840x411-840x620.jpg,Khyber Pakhtunkhwa,
40066,Solarization of 8000 Schools & 187 BHUs in Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-zakhakhel-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40067,Meeting on the Development of Zakhakhel in Khyber District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/01/banner-internal-departmental-meeting-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40068,Internal Departmental Review Meeting,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-12th-pdwp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40069,12th PDWP Meeting Held on 29th December 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-ppp-840x455-840x620.png,Khyber Pakhtunkhwa,
40070,Public Private Partnership Committee Meeting on Dir & D.I.Khan Expressways,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-cm-discuss-840x432-840x620.jpg,Khyber Pakhtunkhwa,
40071,CM Discussed The Second Phase of Local Government Elections,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/2-8-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40072,Meeting on Public Investment Management (PIM),Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/1-6-840x398-840x620.jpg,Khyber Pakhtunkhwa,
40073,ACS KP Launched Website Regarding Dubai Expo,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/3-6-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40074,Review Meeting of The Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-mics-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40075,KP Government Launched MICS Mobile and Web Apps,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-11-pdwp-2021-840x572-840x620.jpg,Khyber Pakhtunkhwa,
40076,Meeting on PSDP Projects in Khyber Pakhtunkhwa,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-former-secretary-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40077,11th PDWP Held on 14 December 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-one-window-business-portal-840x368-840x620.jpg,Khyber Pakhtunkhwa,
40078,ACS KP Shahab Ali Shah Presented Shield to Former Secretary P&D Amir Sultan Tareen,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-seed-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40079,KP Government Launched One Window Portal For Promotion of Business & Industrialization in Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/1-2-840x612-840x620.jpg,Khyber Pakhtunkhwa,
40080,5th PSC Meeting on Sustainable Energy & Economic Development (SEED) Programme,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/banner-kpboit-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40081,Special PDWP Held on 8th December 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2020/12/pdwp-840x545-840x620.jpg,Khyber Pakhtunkhwa,
40082,KP-BOIT Signed Partnership MOU With BOK Sapphire IFC & Bestway Cement for Participation in Dubai Expo,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/12/bannu-840x537-840x620.png,Khyber Pakhtunkhwa,
40083,10th PDWP Held on 3rd December 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/3-9-840x580-840x620.jpg,Khyber Pakhtunkhwa,
40084,CM Khyber Pakhtunkhwa Mahmood Khan Fulfilled His Promise Made With The People of Jani Khel Bannu,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/clear-kp-840x574-840x620.jpg,Khyber Pakhtunkhwa,
40085,Weekly Internal Review Meeting,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-draft-manual-840x620-840x620.png,Khyber Pakhtunkhwa,
40086,KP Government Took Important Steps Towards Clean Khyber Pakhtunkhwa,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-sec-840x620-840x620.png,Khyber Pakhtunkhwa,
40087,Meeting to Review Draft Planning Manual,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-weekly-review-840x579-840x620.png,Khyber Pakhtunkhwa,
40088,7th PSC Approved Innovation Challenged Fund Round 3,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2020/12/pdwp-840x545-840x620.jpg,Khyber Pakhtunkhwa,
40089,Weekly Review Meeting of the Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-840x487-840x620.png,Khyber Pakhtunkhwa,
40090,Various Schemes Are Approved Under the PDWP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-sa-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40091,Review Meeting of First Quarter of Annual Development Programme,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-adb-840x536-840x620.jpg,Khyber Pakhtunkhwa,
40092,World Bank’s Delegation Led by Robin Mearns Met ACS KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-world-bank-delegation-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40093,Director General ADB HQ Yevgenily Zhukov met ACS KP at P&D Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/25-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40094,World Bank Delegation Visited P&D Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/president-arif-alvi-visted-peshawar-840x519-840x620.png,Khyber Pakhtunkhwa,
